,c1,c2,pH,T,size,dispersity,aspect_ratio
0,0.5,0.5,0.5,0.5,19.224882344146327,19.797284461459416,1.5676805883623246
1,0.75,0.25,0.25,0.25,15.30218185477286,16.913878148063784,1.782749894968732
2,0.25,0.75,0.75,0.75,20.37594220382787,10.440057827645862,2.5339076479361875
3,0.375,0.375,0.625,0.875,19.044079779572737,18.11705708238141,1.5629797791269264
4,0.875,0.875,0.125,0.375,20.682514623408967,16.08065331065653,0.7397165116495904
5,0.625,0.125,0.875,0.625,22.33686075206177,12.519830535788385,3.291934994866669
6,0.125,0.625,0.375,0.125,14.442151314815607,13.670700205890244,2.3650034532328523
7,0.1875,0.3125,0.9375,0.4375,21.388412322880992,11.020540899852175,3.729914988045794
8,0.6875,0.8125,0.4375,0.9375,16.62666839802213,11.832752950282204,1.231824310681154
9,0.9375,0.0625,0.6875,0.1875,18.728385665576713,11.622138150176383,4.310896998564695
10,0.4375,0.5625,0.1875,0.6875,17.397665467932693,17.643871279109273,0.7995141367682053
11,0.3125,0.1875,0.3125,0.5625,17.8301068257203,17.03637027806159,0.5288682163120676
12,0.8125,0.6875,0.8125,0.0625,16.21013485027901,9.936358462962042,4.974843852184636
13,0.5625,0.4375,0.0625,0.8125,15.096809669875299,14.577676600693255,0.9706828667410359
14,0.0625,0.9375,0.5625,0.3125,21.02277748745445,6.5034617779830635,3.0066971644186635
15,0.09375,0.46875,0.46875,0.65625,19.98710977224019,18.687701988293934,1.0374331149917146
16,0.84375,0.21875,0.21875,0.90625,15.996542822172191,13.798874882263158,1.4850950742900775
17,0.34375,0.71875,0.71875,0.40625,20.05694013808759,12.51002076405861,2.951572459770671
18,0.46875,0.09375,0.84375,0.28125,19.636591245655158,10.767506205746608,3.8317400285438796
19,0.96875,0.59375,0.34375,0.78125,18.387180659441324,17.392380504448322,1.1332836167398783
20,0.71875,0.34375,0.59375,0.03125,13.749835716856222,15.722689628532702,3.9196394385491105
21,0.21875,0.84375,0.09375,0.53125,19.05390133641405,11.495841448888273,1.1532446549632098
22,0.15625,0.15625,0.53125,0.84375,20.504444202552197,18.00761815569621,0.6280359765453186
23,0.65625,0.65625,0.03125,0.34375,16.549919916479283,16.231895342066522,1.0753753433922666
24,0.90625,0.40625,0.78125,0.59375,20.556188009291404,14.92251423505504,3.0866047505437972
25,0.40625,0.90625,0.28125,0.09375,16.738753967376486,11.887281633638292,2.2939655733377937
26,0.28125,0.28125,0.15625,0.21875,12.075346015828666,13.090466495516168,1.0792855455615702
27,0.78125,0.78125,0.65625,0.71875,19.43901799612924,12.148408599180131,1.8393173048331624
28,0.53125,0.03125,0.40625,0.46875,18.71028971556611,14.533220006554506,1.179572482659268
29,0.03125,0.53125,0.90625,0.96875,20.25914507401768,10.05461816224894,3.014770914575558
30,0.046875,0.265625,0.703125,0.546875,21.74702692194933,16.595139321150832,1.6688341863977085
31,0.546875,0.765625,0.203125,0.046875,14.228511715448315,15.223017161114447,2.15655991842622
32,0.796875,0.015625,0.953125,0.796875,23.05560656676395,7.306177113875865,3.979809756610794
33,0.296875,0.515625,0.453125,0.296875,17.22749303824625,17.970671482754,1.8495193428829724
34,0.421875,0.140625,0.078125,0.421875,13.88804785591079,11.00394016645681,0.6457496216848284
35,0.921875,0.640625,0.578125,0.921875,16.715343456433622,13.271792384771118,1.7062679343509106
36,0.671875,0.390625,0.328125,0.171875,14.83979025482059,18.66819972623413,2.074154369434393
37,0.171875,0.890625,0.828125,0.671875,21.443536689350953,3.3775795059858087,3.324174132486341
38,0.234375,0.078125,0.265625,0.984375,16.523128074898352,13.436327993755544,0.38683271300186917
39,0.734375,0.578125,0.765625,0.484375,20.025960313304065,14.79774383738505,2.9646084805229287
40,0.984375,0.328125,0.015625,0.734375,16.236631148197564,12.407799292540766,1.4886258683723024
41,0.484375,0.828125,0.515625,0.234375,18.818970884845555,13.896952151458594,2.472356770060207
42,0.359375,0.453125,0.890625,0.109375,15.73060549333932,8.573391752515318,5.204444634137758
43,0.859375,0.953125,0.390625,0.609375,21.4618554411276,12.472884587522174,0.7518611592551383
44,0.609375,0.203125,0.640625,0.359375,19.207438027830445,16.83003476934418,2.6045779116877577
45,0.109375,0.703125,0.140625,0.859375,17.17946078807695,12.57699629878549,1.162482826465708
46,0.078125,0.234375,0.796875,0.140625,16.3865273902622,9.527657098001812,3.7174829337197166
47,0.578125,0.734375,0.296875,0.640625,19.195319125750114,17.317457815101196,0.9238710006551198
48,0.828125,0.484375,0.546875,0.390625,19.4404264873065,19.6544827619622,2.2203274021578796
49,0.328125,0.984375,0.046875,0.890625,17.807362279243,4.799360945597165,1.425535409550982
50,0.453125,0.359375,0.421875,0.765625,18.491950979433163,19.536466599816247,1.0021270340549655
51,0.953125,0.859375,0.921875,0.265625,19.47780112136963,2.8883280589817013,4.495063409538464
52,0.703125,0.109375,0.171875,0.515625,16.724185048922852,13.37152386937337,1.1171307164279016
53,0.203125,0.609375,0.671875,0.015625,13.483594321570077,10.041858150401954,4.320438639405359
54,0.140625,0.421875,0.234375,0.328125,15.314337445263508,15.809243701366084,0.976898359519428
55,0.640625,0.921875,0.734375,0.828125,18.446851404002842,4.594716260087482,2.165843840146064
56,0.890625,0.171875,0.484375,0.078125,14.885329441724137,14.928480487357378,3.5357028806993056
57,0.390625,0.671875,0.984375,0.578125,20.276512529007697,5.46728731824922,4.196397334800187
58,0.265625,0.046875,0.609375,0.703125,21.87261127055619,16.21197771289145,0.9470612168142502
59,0.765625,0.546875,0.109375,0.203125,15.173989859474112,17.96704037643447,1.5306286391344777
60,0.515625,0.296875,0.859375,0.953125,18.97353737538307,12.974173167766786,2.787440152372596
61,0.015625,0.796875,0.359375,0.453125,20.357620254225246,12.597656007071986,1.7016908542007694
